part_num,,,,,,
2357,,,,,,
3003,,,,,,
3004,,,,,,
3022,,,,,,
3023,,,,,,
3024,,,,,,
3040,,,,,,
3069,,,,,,
3673,,,,,,
3713,,,,,,
3713,,,,,,
3794,,,,,,
6632,,,,,,
11214,,,,,,
18651,,,,,,
32123,,,,,,
