id,part_number,label,category,moved_to
parts/22385p018.dat,22385p018,Tile  3 x  2 with Angled End with Nexo Power Shield Pattern - Veil of Concealment,Tile,False
parts/2582.dat,2582,Hinge Panel  2 x  4 x  3 & 1/3 ,Hinge,False
parts/30079.dat,30079,Panel  3 x  3 x  3,Panel,False
parts/15391.dat,15391,Minifig Gun Shooting Blaster,Minifig,False
parts/87991.dat,87991,Minifig Hair Tousled with Side Parting,Minifig,False
parts/15400c01.dat,15400c01,Spring Shooter  1 x  4 x  1 [71/72] with Loaded Arrow,Spring,False
parts/6005724o2.dat,6005724o2,Sticker  0.8 x  1.8 with Brick Outline Type 2,Sticker,False
parts/3005pe1.dat,3005pe1,Brick  1 x  1 with Eye Pattern,Brick,False
parts/41880.dat,41880,Minifig Head Yoda with Curved Ears,Minifig,False
parts/92245p04.dat,92245p04,Figure Friends Female Right Arm with Black Sleeve Pattern,Figure,False
parts/4492p02.dat,4492p02,Animal Horse Head with Brown/Black Tack Pattern,Animal,False
parts/295.dat,295,,,"0 ~Moved to 4448
"
parts/31460.dat,31460,Duplo Brick  2 x  2,Duplo,False
parts/92246p02.dat,92246p02,Figure Friends Male Left Arm with Bright Green Short Sleeve Pattern,Figure,False
parts/88112.dat,88112,Electric Power Functions E-Motor Back Case,Electric,False
parts/49618.dat,49618,Slope Brick 33  8 x  1 x  3,Slope,False
parts/973p2a.dat,973p2a,Minifig Torso with Chef Pattern,Minifig,False
parts/22385p145.dat,22385p145,Tile  3 x  2 with Angled End with Nexo Power Shield Pattern - Mechanical Griffin,Tile,False
parts/3430c00.dat,3430c00,Forklift  2 x  7 (Complete) (Needs Work),Forklift,False
parts/35538.dat,35538,Electric Powered Up Remote Handset Swiveling Control Buttons Support,Electric,False
parts/23996.dat,23996,Panel  8 x  8 x  6 Rock Corner,Panel,False
parts/3817pm0.dat,3817pm0,Minifig Leg Left with LOTR Leather Armor Pattern,Minifig,False
parts/93604pk0.dat,93604pk0,Slope Brick Curved  3 x  4 x  0.667 Rounded with Eyes and Headlight Pattern,Slope,False
parts/2420.dat,2420,Plate  2 x  2 Corner,Plate,False
parts/3005-l.dat,3005-l,,,"0 ~Moved to 3005ptl
"
parts/57895p04.dat,57895p04,Glass for Window  1 x  4 x  6 with Ornate Silver Frame and Oval Stained Glass Pattern,Glass,False
parts/92710.dat,92710,Boat Hull Floating 28 x  8 Bottom,Boat,False
parts/54654c06.dat,54654c06,Plane Aft Section  8 x 16 x  7 with White Bottom and Tip,Plane,False
parts/3741.dat,3741,Plant Flower Stem (Obsolete),Plant,False
parts/429c03.dat,429c03,Electric Train 12V Brick  2 x  4 Type 2 (Pushed In Contacts),Electric,False
parts/3009p17.dat,3009p17,"Brick  1 x  6 with Black ""POLICE"" and Red Line Pattern",Brick,False
parts/42611.dat,42611,Tyre  6.4/ 75 x  8 Shallow Offset Tread,Tyre,False
parts/u9233c01.dat,u9233c01,Train Track 12V Tapered Point Right Manual (Straight),Train,False
parts/765.dat,765,Electric Plug (Type 4) Single,Electric,False
parts/973p9c.dat,973p9c,Minifig Torso with Knit Sweater Pattern,Minifig,False
parts/35446.dat,35446,Plate Gear 14 Tooth  6 x  6,Plate,False
parts/u8002d.dat,u8002d,Mursten Brick  2 x  2 with 2 Slots Right,Mursten,False
parts/4715.dat,4715,Stretcher Wheels,Stretcher,False
parts/6115204f.dat,6115204f,Sticker  3.9 x  1.9 with partial Runway Centre Markings,Sticker,False
parts/91143.dat,91143,Tile  1 x  4 with Groove,Tile,False
parts/140.dat,140,,,"0 ~Moved to 3821
"
parts/165485a.dat,165485a,Sticker  1.1 x  1.9 with Blue V and Red Lines,Sticker,False
parts/777p12.dat,777p12,Flag on Flagpole Type 2 with Portugal Pattern,Flag,False
parts/3626cpx4.dat,3626cpx4,"Minifig Head with Full Black Beard with Side Burns, White Pupils, Open Mouth Grimace Pattern ",Minifig,False
parts/2944c02.dat,2944c02,Technic Pneumatic Pump  1 x  1 Piston Rod with Gasket,Technic,False
parts/339.dat,339,,,"0 ~Moved to 4474
"
parts/98138p0n.dat,98138p0n,Tile  1 x  1 Round with Tan and Dark Tan Tree Stump Pattern,Tile,False
parts/9.dat,9,,,"0 ~Moved to 3460
"
parts/u9007p02.dat,u9007p02,Roadsign Triangular with Round Base with Pedestrians Pattern,Roadsign,False
parts/973p32.dat,973p32,Minifig Torso with Pirate Stripes Blue/Cream Pattern,Minifig,False
parts/32526.dat,32526,Technic Beam  3 x  5 Bent 90,Technic,False
parts/43888.dat,43888,Brick  1 x  1 x  6 Round with Square Base,Brick,False
parts/60212.dat,60212,Car Mudguard  2 x  4 with Central Hole,Car,False
parts/14769pb1.dat,14769pb1,Tile  2 x  2 Round with Captain America Shield Pattern,Tile,False
parts/4480c03.dat,4480c03,Bike  2 Wheel Motorcycle with Trans-Clear Wheels (Complete),Bike,False
parts/u9143.dat,u9143,Fabuland Fireman's Helmet,Fabuland,False
parts/948ac01.dat,948ac01,Train Track  4.5V Point Type 1 Tapered Left (Straight),Train,False
parts/11202p04.dat,11202p04,"Figure Friends Legs with Shorts, Light Nougat Legs and Sand Blue Laces on Yellow and White Shoes Pattern",Figure,False
parts/3846p4g.dat,3846p4g,Minifig Shield Triangular with Blue Lion on Yellow Pattern,Minifig,False
parts/3069bp08.dat,3069bp08,Tile  1 x  2 with Digital Clock Pattern,Tile,False
parts/2360p01.dat,2360p01,Baseplate 32 x 32 Road 7-Stud T-Junction with Crosswalk Pattern,Baseplate,False
parts/3069bp0j.dat,3069bp0j,Tile  1 x  2 with Piano Keys Pattern,Tile,False
parts/2431ps1.dat,2431ps1,Tile  1 x  4 with Black and Copper Circuits Pattern,Tile,False
parts/6565dt0.dat,6565dt0,Wedge  3 x  2 Left with Grille Sticker,Wedge,False
parts/105.dat,105,,,"0 ~Moved to 30322
"
parts/15301.dat,15301,Spring Shooter  1 x  4 x  1 Bottom,Spring,False
parts/88422.dat,88422,Minifig Skateboard with Four Wheel Clips,Minifig,False
parts/57028c.dat,57028c,Technic Competition Arrow with Hollow Rubber Grey Tip,Technic,False
parts/18041.dat,18041,Minifig Harpoon with Smooth Bar,Minifig,False
parts/3068bp14.dat,3068bp14,,,"0 ~Moved to 3068bp31
"
parts/u9263.dat,u9263,Brick  2 x  4 x  1.333 with Half Round  2 x  2 Plate Top,Brick,False
parts/4442.dat,4442,Technic Plate  1 x  8 with Holes,Technic,False
parts/26056px0.dat,26056px0,"Minifig Head Gremlin with Mogwai with Light Nougat Ears and Face, White Fur on Head and Around Right Eye and Dark Brown Eyes Pattern",Minifig,False
parts/45337.dat,45337,Technic Gearbox  3 x  4 x  1.667 T-shaped (Complete),Technic,False
parts/58133.dat,58133,Electric Power Functions IR Remote Control Front Glass,Electric,False
parts/14301.dat,14301,Hose Flexible 11.5L,Hose,False
parts/41749.dat,41749,Slope Brick Round  3 x  8 x  2 Right,Slope,False
parts/44137.dat,44137,Technic Connector Block  4 x  4 x  2,Technic,False
parts/6153754m.dat,6153754m,"Sticker  0.9 x  0.9 Round with Black Square ""!"" on Orange Background",Sticker,False
parts/54702.dat,54702,Plane Aft Section  8 x 16 x  7 Bottom,Plane,False
parts/53293.dat,53293,Technic Pin Joiner Round,Technic,False
parts/3626bp89.dat,3626bp89,Minifig Head Female with Red Lips Annoyed / Smiling 2-Sided Pattern (Hollow Stud with Pierced Base),Minifig,False
parts/3890c03.dat,3890c03,Panel  2 x  6 x  7 with Window Fabuland Rectangular Blue,Panel,False
parts/u9105p02c01.dat,u9105p02c01,Figure Fabuland Mouse Head  2 with Neck,Figure,False
parts/32020.dat,32020,Wheel Rim 18 x 37 with 6 Pegholes and Long Axle Bush,Wheel,False
parts/3228bc02.dat,3228bc02,Train Track  4.5V Slotted Straight (Complete w/o End Sleepers),Train,False
parts/004159c.dat,004159c,Sticker  2.4 x  3 with France Flag,Sticker,False
parts/92246p04.dat,92246p04,Figure Friends Male Left Arm with Bright Light Blue Short Sleeve Pattern,Figure,False
parts/3044p37.dat,3044p37,Slope Brick 45  2 x  1 Double with Double 3 Button Black Pattern,Slope,False
parts/6046.dat,6046,Bar  9 x 13,Bar,False
parts/3474.dat,3474,Wing  4 x  8 Tail,Wing,False
parts/4444p06.dat,4444p06,Panel  2 x  5 x  6 with Red Window Bricks Pattern,Panel,False
parts/32523.dat,32523,Technic Beam  3,Technic,False
parts/u9343.dat,u9343,Technic Gear Block  2 x  4 x  3 - Top,Technic,False
parts/973p95.dat,973p95,Minifig Torso with White/Yellow/Orange Racesuit Pattern,Minifig,False
parts/4444p09.dat,4444p09,Panel  2 x  5 x  6 Wall with Yellow Dragons and Dark Grey Stones Pattern,Panel,False
parts/24246p02.dat,24246p02,Tile  1 x  1 with Rounded End with Red Taillight Pattern,Tile,False
parts/3082.dat,3082,Window  1 x  2 x  2 Classic Glass,Window,False
parts/u9108p02c01.dat,u9108p02c01,Figure Fabuland Cat Head  2 with Neck,Figure,False
parts/820675c.dat,820675c,Sticker  1.2 x  8 Triangle Yellow with Transparent Border Right,Sticker,False
parts/6005724k.dat,6005724k,Sticker  0.8 x  3.9 with Brick Outline,Sticker,False
parts/76607.dat,76607,Electric Mindstorms EV3 IR-Beacon Case Top,Electric,False
parts/u9007p05.dat,u9007p05,Roadsign Triangular with Round Base with Right Bend Pattern,Roadsign,False
parts/453.dat,453,,,"0 ~Moved to 453cc01
"
parts/35700p02.dat,35700p02,Container  2 x  2 x  1 Crate with Medium Blue Diagonal Stripes on Four Sides Pattern,Container,False
parts/6095.dat,6095,Minifig Compass Cover,Minifig,False
parts/92906.dat,92906,Technic Steering Constant Velocity Joint Female,Technic,False
parts/4106331a.dat,4106331a,"Sticker  5.4 x  3.6 with ""BANK"" Sign",Sticker,False
parts/30375ps4.dat,30375ps4,Minifig Mechanical Torso with Orange Dot Insignia Pattern,Minifig,False
parts/22385p013.dat,22385p013,Tile  3 x  2 with Angled End with Nexo Power Shield Pattern - Roaring Righteousness,Tile,False
parts/4162p0p.dat,4162p0p,"Tile  1 x  8 with ""Leaning Tower of Pisa"" Pattern",Tile,False
parts/u9201.dat,u9201,Fabuland Straw Hat,Fabuland,False
parts/19220.dat,19220,Minifig Radio with Large Grille,Minifig,False
parts/3846d04.dat,3846d04,Minifig Shield Triangular with Yellow Trefoils on Blue Sticker,Minifig,False
parts/10039.dat,10039,Motor Pull Back  4 x  8 x  0.667 with White Axle,Motor,False
parts/18943.dat,18943,Technic Excavator Bucket  7 x  5 x  4.5 Clamshell,Technic,False
parts/71951.dat,71951,Technic Ribbed Hose  8L,Technic,False
parts/6060.dat,6060,Arch  1 x  6 x  3 & 1/3 with Curved Top,Arch,False
